
2015-11-28 15:57:17 +0000 [226502496017707] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {50.5, 18.5}
2015-11-28 15:57:17 +0000 [226502946926793] <Label.swift:92> intrinsicContentSize()  gutter: {-10, 0, 0, 0}; intrinsicContentSize: {50.5, 28.5}
2015-11-28 15:57:17 +0000 [226502950451714] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-28 15:57:17 +0000 [226502950884145] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {50.5, 18.5}
2015-11-28 15:57:18 +0000 [226503418113707] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-28 15:57:18 +0000 [226503552459022] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-28 15:57:18 +0000 [226503894253366] <Label.swift:92> intrinsicContentSize()  gutter: {-10, 0, 0, 0}; intrinsicContentSize: {50.5, 28.5}
2015-11-28 15:57:18 +0000 [226503897974744] <Label.swift:92> intrinsicContentSize()  gutter: {-10, 0, 0, 0}; intrinsicContentSize: {50.5, 28.5}
2015-11-28 15:57:19 +0000 [226504410521265] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-28 15:57:19 +0000 [226504895124567] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-28 15:57:19 +0000 [226504906528101] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-28 15:57:19 +0000 [226504907772730] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-28 15:57:20 +0000 [226505374169979] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-28 15:57:20 +0000 [226505378338556] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-28 15:57:20 +0000 [226505383092532] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-28 15:57:20 +0000 [226505397962898] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-28 15:57:20 +0000 [226505522457168] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-28 15:57:22 +0000 [226507388526745] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-28 15:57:22 +0000 [226507513748515] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-28 17:01:45 +0000 [228416770829732] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-28 17:01:46 +0000 [228417229269107] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-28 17:01:46 +0000 [228417239074324] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-28 17:01:46 +0000 [228417240537156] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-28 17:01:46 +0000 [228417710614031] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-28 17:01:46 +0000 [228417715223953] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-28 17:01:46 +0000 [228417729896019] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-28 17:01:46 +0000 [228417861905848] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 15:37:27 +0000 [229358041509893] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {23.5, 14}
2015-11-29 15:37:27 +0000 [229358566473391] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {23.5, 14}
2015-11-29 15:37:28 +0000 [229359044833099] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {23.5, 14}
2015-11-29 15:37:28 +0000 [229359518264020] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {23.5, 14}
2015-11-29 15:37:28 +0000 [229359522150607] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {23.5, 14}
2015-11-29 15:37:28 +0000 [229359525490617] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {23.5, 14}
2015-11-29 15:37:28 +0000 [229359541046301] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {23.5, 14}
2015-11-29 15:37:28 +0000 [229359672530121] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {23.5, 14}
2015-11-29 15:40:18 +0000 [229528914351761] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 15:40:18 +0000 [229529419246938] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 15:40:19 +0000 [229529888437046] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 15:40:19 +0000 [229529899341458] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 15:40:19 +0000 [229529900361821] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 15:40:19 +0000 [229530375592727] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 15:40:19 +0000 [229530378717827] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 15:40:19 +0000 [229530394004196] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 15:40:19 +0000 [229530525418597] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 15:40:21 +0000 [229532112803256] <Label.swift:92> intrinsicContentSize()  gutter: {100, 10, 0, 0}; intrinsicContentSize: {60.5, 118.5}
2015-11-29 15:42:59 +0000 [229690662189369] <Label.swift:92> intrinsicContentSize()  gutter: {100, 10, 0, 0}; intrinsicContentSize: {60.5, 118.5}
2015-11-29 15:43:00 +0000 [229691165152997] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 15:43:00 +0000 [229691621476871] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 15:43:00 +0000 [229691632813573] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 15:43:01 +0000 [229692088740876] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 15:43:01 +0000 [229692095179418] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 15:43:01 +0000 [229692109777369] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 15:43:01 +0000 [229692234761109] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 15:43:03 +0000 [229694056606815] <Label.swift:92> intrinsicContentSize()  gutter: {100, 10, 0, 0}; intrinsicContentSize: {60.5, 118.5}
2015-11-29 17:23:57 +0000 [235748124152542] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 17:23:58 +0000 [235749081568432] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 17:24:00 +0000 [235750946063582] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 17:24:00 +0000 [235751072685338] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 17:24:00 +0000 [235751408262894] <Label.swift:92> intrinsicContentSize()  gutter: {128, 0, 0, 0}; intrinsicContentSize: {50.5, 146.5}
2015-11-29 17:24:00 +0000 [235751411744743] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 17:24:00 +0000 [235751539011115] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 17:24:35 +0000 [235786321899011] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 17:24:36 +0000 [235787321610290] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 17:24:37 +0000 [235788269061381] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 17:35:08 +0000 [236419129403475] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 17:35:09 +0000 [236420083147821] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 17:35:11 +0000 [236422268705657] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 17:35:11 +0000 [236422285205457] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 17:35:11 +0000 [236422409293233] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 17:35:11 +0000 [236422746402326] <Label.swift:92> intrinsicContentSize()  gutter: {128, 0, 0, 0}; intrinsicContentSize: {50.5, 146.5}
2015-11-29 17:35:12 +0000 [236422871253152] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 17:35:38 +0000 [236449485999460] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 17:35:39 +0000 [236450464585285] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 17:35:40 +0000 [236451417916518] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 17:58:31 +0000 [237822844766210] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 17:58:32 +0000 [237823810715013] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 18:21:34 +0000 [239205452749616] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 18:21:35 +0000 [239206448286969] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 18:36:11 +0000 [240082592303366] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-11-29 18:36:12 +0000 [240083582958179] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-12-01 02:34:25 +0000 [246721282724425] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-12-01 02:34:26 +0000 [246722117337702] <Label.swift:92> intrinsicContentSize()  gutter: {150.5, 0, 0, 0}; intrinsicContentSize: {50.5, 169}
2015-12-01 02:34:26 +0000 [246723106221572] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
